feature,f_test_rank,mutual_info_rank,random_forest_rank,correlation_rank,gradient_boosting_rank,avg_rank,final_rank,f_test_score,mutual_info_score,random_forest_score,correlation_score,gradient_boosting_score
sensor_488,41.0,112.0,9.0,44.0,55.0,52.2,26.5,3.7585677306772567,0.0005267329769287343,0.012516388203188096,0.05212022782579999,0.00611761565734846
sensor_417,82.0,50.0,51.0,25.0,72.0,56.0,28.0,1.492364142750426,0.008591374092376869,0.005928715426460388,0.06516276748897395,0.0042282994542326485
sensor_138,27.0,32.0,109.0,72.0,45.0,57.0,29.0,5.096773983233856,0.012824158038386768,0.0041488492857976,0.03649014583931909,0.008146030605374839
sensor_022,19.0,76.0,73.0,67.0,60.0,59.0,30.5,5.6547206440994096,0.0051420520222216215,0.005076505381290845,0.04015341689852339,0.0054307642033148175
sensor_203,47.0,94.0,47.0,66.0,41.0,59.0,30.5,3.401112487671504,0.0032529878793559064,0.006045822679395612,0.040494959325195555,0.00854581928798548
sensor_040,64.0,39.0,156.0,23.0,22.0,60.8,32.5,2.44737681475591,0.010569501694710493,0.002965463878160812,0.06572290919595059,0.012961219286559737
sensor_225,96.0,36.0,61.0,84.0,27.0,60.8,32.5,1.0605799302968306,0.011002993997017096,0.005538230876965608,0.03272826095611907,0.010310875915300128
sensor_416,72.0,7.0,53.0,60.0,114.0,61.2,34.5,1.9953952600005145,0.021114192017321676,0.005883238336262274,0.04316118548573063,0.001453750591329247
sensor_038,66.0,63.0,100.0,73.0,4.0,61.2,34.5,2.289226557859091,0.006617335299054838,0.00426615718284398,0.036210203154221035,0.028972804926546414
sensor_159,43.0,84.0,50.0,37.0,97.0,62.2,36.0,3.5764872510091554,0.004329676756374079,0.005931311985224636,0.05487164818831916,0.0023960673858152808
sensor_316,9.0,157.0,15.0,7.0,132.0,64.0,37.0,10.1916274504043,0.0,0.00862051962875012,0.09434628459802875,0.0007630218872338437
sensor_123,25.0,48.0,16.0,59.0,173.0,64.2,38.0,5.1109577037250284,0.008711275803001906,0.008585592509140703,0.04317833411472814,7.451420234499917e-05
sensor_043,69.0,90.0,39.0,82.0,47.0,65.4,39.0,2.0714286839241653,0.003523303781479692,0.0063185159527534476,0.03375688743852088,0.0075615107866004545
sensor_443,63.0,3.0,65.0,54.0,143.0,65.6,40.0,2.4591404365424308,0.024498664667698566,0.005302859918340339,0.0464393669792006,0.00043123973138469097
sensor_181,53.0,110.0,63.0,55.0,52.0,66.6,41.0,2.769848015618708,0.0010029147248620252,0.005508687873238112,0.0453168464425444,0.006762333739077891
sensor_035,90.0,31.0,142.0,40.0,36.0,67.8,42.0,1.1505869917628364,0.012936827578347021,0.0033322732141435074,0.05434854683413876,0.009101093571296789
sensor_000,114.0,109.0,17.0,47.0,53.0,68.0,43.0,0.543844099176299,0.0010901781404777378,0.008347608392522705,0.05048894950273486,0.00665896024796491
